image_id,file_name,garments,colors,styles,scene,objects,relation,weather,location,color_garment_pairs,query_tags,caption,gender
synth_0016,synth_0016.jpg,dress shirt;tie,white;red,formal,cubicle maze,desktop monitor,working at,clear indoor lighting,downtown in Tokyo,white:dress shirt;red:tie,dress shirt;tie;white;red;cubicle maze;desktop monitor;working at;clear indoor lighting;downtown in Tokyo;formal,"A person wearing a white dress shirt with a red tie, working at a desktop monitor in a cubicle maze located in downtown in Tokyo, clear indoor lighting, photorealistic, DSLR photography, highly detailed, fashion photography, 8k resolution",
synth_0017,synth_0017.jpg,blazer;scarf,white;red,formal,glass-walled meeting room,whiteboard,standing near,clear indoor lighting,downtown in London,white:blazer;red:scarf,blazer;scarf;white;red;glass-walled meeting room;whiteboard;standing near;clear indoor lighting;downtown in London;formal,"An elderly man wearing a white blazer with a red scarf, standing near a whiteboard in a glass-walled meeting room located in downtown in London, clear indoor lighting, photorealistic, DSLR photography, highly detailed, fashion photography, 8k resolution",male
synth_0018,synth_0018.jpg,dress shirt;tie,white;red,formal,executive office,business documents,reading,clear indoor lighting,campus in Paris,white:dress shirt;red:tie,dress shirt;tie;white;red;executive office;business documents;reading;clear indoor lighting;campus in Paris;formal,"A middle-aged woman wearing a white dress shirt with a red tie, reading a business documents in a executive office located in campus in Paris, clear indoor lighting, photorealistic, DSLR photography, highly detailed, fashion photography, 8k resolution",female
synth_0019,synth_0019.jpg,dress shirt;tie,white;red,formal,conference hall,gate seating,sitting on,clear indoor lighting,campus in New York,white:dress shirt;red:tie,dress shirt;tie;white;red;conference hall;gate seating;sitting on;clear indoor lighting;campus in New York;formal,"A young woman wearing a white dress shirt with a red tie, sitting on a gate seating in a conference hall located in campus in New York, clear indoor lighting, photorealistic, DSLR photography, highly detailed, fashion photography, 8k resolution",female
synth_0020,synth_0020.jpg,dress shirt;tie,white;red,formal,business lounge,boarding pass,reading,clear indoor lighting,financial district in Tokyo,white:dress shirt;red:tie,dress shirt;tie;white;red;business lounge;boarding pass;reading;clear indoor lighting;financial district in Tokyo;formal,"A young man wearing a white dress shirt with a red tie, reading a boarding pass in a business lounge located in financial district in Tokyo, clear indoor lighting, photorealistic, DSLR photography, highly detailed, fashion photography, 8k resolution",male
synth_0021,synth_0021.jpg,dress shirt;tie,red;white,formal,conference hall,ergonomic office chair,sitting on,clear indoor lighting,campus in Paris,red:dress shirt;white:tie,dress shirt;tie;red;white;conference hall;ergonomic office chair;sitting on;clear indoor lighting;campus in Paris;formal,"An elderly man wearing a red dress shirt with a white tie, sitting on a ergonomic office chair in a conference hall located in campus in Paris, clear indoor lighting, photorealistic, DSLR photography, highly detailed, fashion photography, 8k resolution",male
synth_0022,synth_0022.jpg,blazer;scarf,white;red,formal,corporate boardroom,business documents,holding,clear indoor lighting,residential street in New York,white:blazer;red:scarf,blazer;scarf;white;red;corporate boardroom;business documents;holding;clear indoor lighting;residential street in New York;formal,"A middle-aged woman wearing a white blazer with a red scarf, holding a business documents in a corporate boardroom located in residential street in New York, clear indoor lighting, photorealistic, DSLR photography, highly detailed, fashion photography, 8k resolution",female
synth_0023,synth_0023.jpg,dress shirt;tie,white;red,formal,airport lounge,cafe menu,reading,clear indoor lighting,residential street in New York,white:dress shirt;red:tie,dress shirt;tie;white;red;airport lounge;cafe menu;reading;clear indoor lighting;residential street in New York;formal,"A young woman wearing a white dress shirt with a red tie, reading a cafe menu in a airport lounge located in residential street in New York, clear indoor lighting, photorealistic, DSLR photography, highly detailed, fashion photography, 8k resolution",female
synth_0024,synth_0024.jpg,dress shirt;tie,white;red,formal,conference hall,presentation screen,presenting near,clear indoor lighting,shopping district in Tokyo,white:dress shirt;red:tie,dress shirt;tie;white;red;conference hall;presentation screen;presenting near;clear indoor lighting;shopping district in Tokyo;formal,"A young woman wearing a white dress shirt with a red tie, presenting near a presentation screen in a conference hall located in shopping district in Tokyo, clear indoor lighting, photorealistic, DSLR photography, highly detailed, fashion photography, 8k resolution",female
synth_0025,synth_0025.jpg,dress shirt;tie,white;red,formal,quiet public library,garden chair,sitting on,clear indoor lighting,downtown in London,white:dress shirt;red:tie,dress shirt;tie;white;red;quiet public library;garden chair;sitting on;clear indoor lighting;downtown in London;formal,"An elderly man wearing a white dress shirt with a red tie, sitting on a garden chair in a quiet public library located in downtown in London, clear indoor lighting, photorealistic, DSLR photography, highly detailed, fashion photography, 8k resolution",male
synth_0026,synth_0026.jpg,blazer;scarf,white;red,formal,conference hall,laptop,working at,clear indoor lighting,urban park in New York,white:blazer;red:scarf,blazer;scarf;white;red;conference hall;laptop;working at;clear indoor lighting;urban park in New York;formal,"A young man wearing a white blazer with a red scarf, working at a laptop in a conference hall located in urban park in New York, clear indoor lighting, photorealistic, DSLR photography, highly detailed, fashion photography, 8k resolution",male
synth_0027,synth_0027.jpg,dress shirt;tie,white;red,formal,airport lounge,cafe menu,reading,clear indoor lighting,shopping district in Tokyo,white:dress shirt;red:tie,dress shirt;tie;white;red;airport lounge;cafe menu;reading;clear indoor lighting;shopping district in Tokyo;formal,"A fashion model wearing a white dress shirt with a red tie, reading a cafe menu in a airport lounge located in shopping district in Tokyo, clear indoor lighting, photorealistic, DSLR photography, highly detailed, fashion photography, 8k resolution",
synth_0028,synth_0028.jpg,dress shirt;tie,white;red,formal,airport lounge,coffee cup,drinking from,clear indoor lighting,urban park in Tokyo,white:dress shirt;red:tie,dress shirt;tie;white;red;airport lounge;coffee cup;drinking from;clear indoor lighting;urban park in Tokyo;formal,"A person wearing a white dress shirt with a red tie, drinking from a coffee cup in a airport lounge located in urban park in Tokyo, clear indoor lighting, photorealistic, DSLR photography, highly detailed, fashion photography, 8k resolution",
synth_0029,synth_0029.jpg,dress shirt;tie,white;red,formal,hotel lobby,cafe table,sitting at,clear indoor lighting,residential street in New York,white:dress shirt;red:tie,dress shirt;tie;white;red;hotel lobby;cafe table;sitting at;clear indoor lighting;residential street in New York;formal,"A middle-aged woman wearing a white dress shirt with a red tie, sitting at a cafe table in a hotel lobby located in residential street in New York, clear indoor lighting, photorealistic, DSLR photography, highly detailed, fashion photography, 8k resolution",female
synth_0030,synth_0030.jpg,blazer;scarf,white;red,formal,startup open workspace,office printer,standing near,clear indoor lighting,shopping district in London,white:blazer;red:scarf,blazer;scarf;white;red;startup open workspace;office printer;standing near;clear indoor lighting;shopping district in London;formal,"A person wearing a white blazer with a red scarf, standing near a office printer in a startup open workspace located in shopping district in London, clear indoor lighting, photorealistic, DSLR photography, highly detailed, fashion photography, 8k resolution",
synth_0031,synth_0031.jpg,dress shirt;tie,white;red,formal,business lounge,ergonomic office chair,sitting on,clear indoor lighting,campus in London,white:dress shirt;red:tie,dress shirt;tie;white;red;business lounge;ergonomic office chair;sitting on;clear indoor lighting;campus in London;formal,"A teenager wearing a white dress shirt with a red tie, sitting on a ergonomic office chair in a business lounge located in campus in London, clear indoor lighting, photorealistic, DSLR photography, highly detailed, fashion photography, 8k resolution",
synth_0032,synth_0032.jpg,dress shirt;tie,white;red,formal,hotel lobby,cafe menu,reading,clear indoor lighting,financial district in Tokyo,white:dress shirt;red:tie,dress shirt;tie;white;red;hotel lobby;cafe menu;reading;clear indoor lighting;financial district in Tokyo;formal,"A young man wearing a white dress shirt with a red tie, reading a cafe menu in a hotel lobby located in financial district in Tokyo, clear indoor lighting, photorealistic, DSLR photography, highly detailed, fashion photography, 8k resolution",male
synth_0033,synth_0033.jpg,dress shirt;tie,white;red,formal,corporate boardroom,office printer,using,clear indoor lighting,financial district in London,white:dress shirt;red:tie,dress shirt;tie;white;red;corporate boardroom;office printer;using;clear indoor lighting;financial district in London;formal,"An elderly man wearing a white dress shirt with a red tie, using a office printer in a corporate boardroom located in financial district in London, clear indoor lighting, photorealistic, DSLR photography, highly detailed, fashion photography, 8k resolution",male
synth_0034,synth_0034.jpg,dress shirt;tie,red;white,formal,meeting room,business documents,reading,clear indoor lighting,campus in New York,red:dress shirt;white:tie,dress shirt;tie;red;white;meeting room;business documents;reading;clear indoor lighting;campus in New York;formal,"An elderly man wearing a red dress shirt with a white tie, reading a business documents in a meeting room located in campus in New York, clear indoor lighting, photorealistic, DSLR photography, highly detailed, fashion photography, 8k resolution",male
synth_0035,synth_0035.jpg,dress shirt;tie,red;white,formal,conference hall,leather briefcase,holding,clear indoor lighting,urban park in Paris,red:dress shirt;white:tie,dress shirt;tie;red;white;conference hall;leather briefcase;holding;clear indoor lighting;urban park in Paris;formal,"A teenager wearing a red dress shirt with a white tie, holding a leather briefcase in a conference hall located in urban park in Paris, clear indoor lighting, photorealistic, DSLR photography, highly detailed, fashion photography, 8k resolution",
synth_0036,synth_0036.jpg,dress shirt;tie,white;red,formal,cubicle maze,desktop monitor,working at,clear indoor lighting,residential street in Paris,white:dress shirt;red:tie,dress shirt;tie;white;red;cubicle maze;desktop monitor;working at;clear indoor lighting;residential street in Paris;formal,"A fashion model wearing a white dress shirt with a red tie, working at a desktop monitor in a cubicle maze located in residential street in Paris, clear indoor lighting, photorealistic, DSLR photography, highly detailed, fashion photography, 8k resolution",
synth_0037,synth_0037.jpg,dress shirt;tie,white;red,formal,cubicle maze,desktop monitor,working at,clear indoor lighting,downtown in Tokyo,white:dress shirt;red:tie,dress shirt;tie;white;red;cubicle maze;desktop monitor;working at;clear indoor lighting;downtown in Tokyo;formal,"A person wearing a white dress shirt with a red tie, working at a desktop monitor in a cubicle maze located in downtown in Tokyo, clear indoor lighting, photorealistic, DSLR photography, highly detailed, fashion photography, 8k resolution",
synth_0038,synth_0038.jpg,blazer;scarf,white;red,formal,glass-walled meeting room,presentation screen,looking at,clear indoor lighting,business district in London,white:blazer;red:scarf,blazer;scarf;white;red;glass-walled meeting room;presentation screen;looking at;clear indoor lighting;business district in London;formal,"A teenager wearing a white blazer with a red scarf, looking at a presentation screen in a glass-walled meeting room located in business district in London, clear indoor lighting, photorealistic, DSLR photography, highly detailed, fashion photography, 8k resolution",
synth_0039,synth_0039.jpg,dress shirt;tie,white;red,formal,corporate boardroom,business documents,holding,clear indoor lighting,residential street in New York,white:dress shirt;red:tie,dress shirt;tie;white;red;corporate boardroom;business documents;holding;clear indoor lighting;residential street in New York;formal,"A teenager wearing a white dress shirt with a red tie, holding a business documents in a corporate boardroom located in residential street in New York, clear indoor lighting, photorealistic, DSLR photography, highly detailed, fashion photography, 8k resolution",
synth_0040,synth_0040.jpg,dress shirt;tie,white;red,formal,cafe,cafe table,sitting at,clear indoor lighting,downtown in New York,white:dress shirt;red:tie,dress shirt;tie;white;red;cafe;cafe table;sitting at;clear indoor lighting;downtown in New York;formal,"A young man wearing a white dress shirt with a red tie, sitting at a cafe table in a cafe located in downtown in New York, clear indoor lighting, photorealistic, DSLR photography, highly detailed, fashion photography, 8k resolution",male
synth_0041,synth_0041.jpg,dress shirt;tie,white;red,formal,business lounge,rolling luggage,holding,clear indoor lighting,residential street in Paris,white:dress shirt;red:tie,dress shirt;tie;white;red;business lounge;rolling luggage;holding;clear indoor lighting;residential street in Paris;formal,"A fashion model wearing a white dress shirt with a red tie, holding a rolling luggage in a business lounge located in residential street in Paris, clear indoor lighting, photorealistic, DSLR photography, highly detailed, fashion photography, 8k resolution",
synth_0042,synth_0042.jpg,dress shirt;tie,white;red,formal,upscale restaurant,cafe table,sitting at,clear indoor lighting,downtown in Paris,white:dress shirt;red:tie,dress shirt;tie;white;red;upscale restaurant;cafe table;sitting at;clear indoor lighting;downtown in Paris;formal,"A young woman wearing a white dress shirt with a red tie, sitting at a cafe table in a upscale restaurant located in downtown in Paris, clear indoor lighting, photorealistic, DSLR photography, highly detailed, fashion photography, 8k resolution",female
synth_0043,synth_0043.jpg,dress shirt;tie,white;red,formal,reception area,presentation screen,presenting near,clear indoor lighting,campus in Paris,white:dress shirt;red:tie,dress shirt;tie;white;red;reception area;presentation screen;presenting near;clear indoor lighting;campus in Paris;formal,"A person wearing a white dress shirt with a red tie, presenting near a presentation screen in a reception area located in campus in Paris, clear indoor lighting, photorealistic, DSLR photography, highly detailed, fashion photography, 8k resolution",
synth_0044,synth_0044.jpg,dress shirt;tie,white;red,formal,conference hall,conference table,sitting at,clear indoor lighting,residential street in Tokyo,white:dress shirt;red:tie,dress shirt;tie;white;red;conference hall;conference table;sitting at;clear indoor lighting;residential street in Tokyo;formal,"A young man wearing a white dress shirt with a red tie, sitting at a conference table in a conference hall located in residential street in Tokyo, clear indoor lighting, photorealistic, DSLR photography, highly detailed, fashion photography, 8k resolution",male
synth_0045,synth_0045.jpg,dress shirt;tie,white;red,formal,busy airport terminal,cafe table,sitting at,clear indoor lighting,residential street in Paris,white:dress shirt;red:tie,dress shirt;tie;white;red;busy airport terminal;cafe table;sitting at;clear indoor lighting;residential street in Paris;formal,"An elderly man wearing a white dress shirt with a red tie, sitting at a cafe table in a busy airport terminal located in residential street in Paris, clear indoor lighting, photorealistic, DSLR photography, highly detailed, fashion photography, 8k resolution",male
synth_0046,synth_0046.jpg,dress shirt;tie,red;white,formal,startup open workspace,leather briefcase,carrying,clear indoor lighting,business district in London,red:dress shirt;white:tie,dress shirt;tie;red;white;startup open workspace;leather briefcase;carrying;clear indoor lighting;business district in London;formal,"A young woman wearing a red dress shirt with a white tie, carrying a leather briefcase in a startup open workspace located in business district in London, clear indoor lighting, photorealistic, DSLR photography, highly detailed, fashion photography, 8k resolution",female
synth_0047,synth_0047.jpg,dress shirt;tie,white;red,formal,airport lounge,cafe menu,holding,clear indoor lighting,urban park in London,white:dress shirt;red:tie,dress shirt;tie;white;red;airport lounge;cafe menu;holding;clear indoor lighting;urban park in London;formal,"A middle-aged woman wearing a white dress shirt with a red tie, holding a cafe menu in a airport lounge located in urban park in London, clear indoor lighting, photorealistic, DSLR photography, highly detailed, fashion photography, 8k resolution",female
synth_0048,synth_0048.jpg,dress shirt;tie,white;red,formal,startup open workspace,leather briefcase,carrying,clear indoor lighting,campus in Tokyo,white:dress shirt;red:tie,dress shirt;tie;white;red;startup open workspace;leather briefcase;carrying;clear indoor lighting;campus in Tokyo;formal,"A young woman wearing a white dress shirt with a red tie, carrying a leather briefcase in a startup open workspace located in campus in Tokyo, clear indoor lighting, photorealistic, DSLR photography, highly detailed, fashion photography, 8k resolution",female
synth_0049,synth_0049.jpg,dress shirt;tie,white;red,formal,cafe,garden chair,sitting on,clear indoor lighting,business district in New York,white:dress shirt;red:tie,dress shirt;tie;white;red;cafe;garden chair;sitting on;clear indoor lighting;business district in New York;formal,"A person wearing a white dress shirt with a red tie, sitting on a garden chair in a cafe located in business district in New York, clear indoor lighting, photorealistic, DSLR photography, highly detailed, fashion photography, 8k resolution",
synth_0050,synth_0050.jpg,blazer;scarf,white;red,formal,meeting room,office desk,standing near,clear indoor lighting,downtown in New York,white:blazer;red:scarf,blazer;scarf;white;red;meeting room;office desk;standing near;clear indoor lighting;downtown in New York;formal,"A young man wearing a white blazer with a red scarf, standing near a office desk in a meeting room located in downtown in New York, clear indoor lighting, photorealistic, DSLR photography, highly detailed, fashion photography, 8k resolution",male
synth_0051,synth_0051.jpg,dress shirt;tie,white;red,formal,business lounge,office printer,using,clear indoor lighting,downtown in Paris,white:dress shirt;red:tie,dress shirt;tie;white;red;business lounge;office printer;using;clear indoor lighting;downtown in Paris;formal,"A fashion model wearing a white dress shirt with a red tie, using a office printer in a business lounge located in downtown in Paris, clear indoor lighting, photorealistic, DSLR photography, highly detailed, fashion photography, 8k resolution",
synth_0052,synth_0052.jpg,dress shirt;tie,white;red,formal,startup open workspace,leather briefcase,holding,clear indoor lighting,downtown in London,white:dress shirt;red:tie,dress shirt;tie;white;red;startup open workspace;leather briefcase;holding;clear indoor lighting;downtown in London;formal,"A young man wearing a white dress shirt with a red tie, holding a leather briefcase in a startup open workspace located in downtown in London, clear indoor lighting, photorealistic, DSLR photography, highly detailed, fashion photography, 8k resolution",male
synth_0053,synth_0053.jpg,dress shirt;tie,red;white,formal,glass-walled meeting room,ergonomic office chair,sitting on,clear indoor lighting,campus in Paris,red:dress shirt;white:tie,dress shirt;tie;red;white;glass-walled meeting room;ergonomic office chair;sitting on;clear indoor lighting;campus in Paris;formal,"A person wearing a red dress shirt with a white tie, sitting on a ergonomic office chair in a glass-walled meeting room located in campus in Paris, clear indoor lighting, photorealistic, DSLR photography, highly detailed, fashion photography, 8k resolution",
synth_0054,synth_0054.jpg,dress shirt;tie,white;red,formal,cafe,garden chair,sitting on,clear indoor lighting,urban park in New York,white:dress shirt;red:tie,dress shirt;tie;white;red;cafe;garden chair;sitting on;clear indoor lighting;urban park in New York;formal,"A middle-aged woman wearing a white dress shirt with a red tie, sitting on a garden chair in a cafe located in urban park in New York, clear indoor lighting, photorealistic, DSLR photography, highly detailed, fashion photography, 8k resolution",female
synth_0055,synth_0055.jpg,dress shirt;tie,white;red,formal,hotel lobby,cafe menu,holding,clear indoor lighting,financial district in London,white:dress shirt;red:tie,dress shirt;tie;white;red;hotel lobby;cafe menu;holding;clear indoor lighting;financial district in London;formal,"A young woman wearing a white dress shirt with a red tie, holding a cafe menu in a hotel lobby located in financial district in London, clear indoor lighting, photorealistic, DSLR photography, highly detailed, fashion photography, 8k resolution",female
synth_0056,synth_0056.jpg,dress shirt;tie,white;red,formal,startup open workspace,rolling luggage,holding,clear indoor lighting,residential street in Tokyo,white:dress shirt;red:tie,dress shirt;tie;white;red;startup open workspace;rolling luggage;holding;clear indoor lighting;residential street in Tokyo;formal,"A fashion model wearing a white dress shirt with a red tie, holding a rolling luggage in a startup open workspace located in residential street in Tokyo, clear indoor lighting, photorealistic, DSLR photography, highly detailed, fashion photography, 8k resolution",
synth_0057,synth_0057.jpg,dress shirt;tie,white;red,formal,busy airport terminal,cafe table,sitting at,clear indoor lighting,shopping district in New York,white:dress shirt;red:tie,dress shirt;tie;white;red;busy airport terminal;cafe table;sitting at;clear indoor lighting;shopping district in New York;formal,"A teenager wearing a white dress shirt with a red tie, sitting at a cafe table in a busy airport terminal located in shopping district in New York, clear indoor lighting, photorealistic, DSLR photography, highly detailed, fashion photography, 8k resolution",
synth_0058,synth_0058.jpg,dress shirt;tie,white;red,formal,glass-walled meeting room,ergonomic office chair,sitting on,clear indoor lighting,downtown in London,white:dress shirt;red:tie,dress shirt;tie;white;red;glass-walled meeting room;ergonomic office chair;sitting on;clear indoor lighting;downtown in London;formal,"A fashion model wearing a white dress shirt with a red tie, sitting on a ergonomic office chair in a glass-walled meeting room located in downtown in London, clear indoor lighting, photorealistic, DSLR photography, highly detailed, fashion photography, 8k resolution",
synth_0059,synth_0059.jpg,dress shirt;tie,white;red,formal,startup open workspace,office desk,standing near,clear indoor lighting,urban park in New York,white:dress shirt;red:tie,dress shirt;tie;white;red;startup open workspace;office desk;standing near;clear indoor lighting;urban park in New York;formal,"A middle-aged woman wearing a white dress shirt with a red tie, standing near a office desk in a startup open workspace located in urban park in New York, clear indoor lighting, photorealistic, DSLR photography, highly detailed, fashion photography, 8k resolution",female
synth_0060,synth_0060.jpg,dress shirt;tie,white;red,formal,cafe,garden chair,sitting on,clear indoor lighting,business district in New York,white:dress shirt;red:tie,dress shirt;tie;white;red;cafe;garden chair;sitting on;clear indoor lighting;business district in New York;formal,"A person wearing a white dress shirt with a red tie, sitting on a garden chair in a cafe located in business district in New York, clear indoor lighting, photorealistic, DSLR photography, highly detailed, fashion photography, 8k resolution",
synth_0061,synth_0061.jpg,blazer;scarf,white;red,formal,executive office,laptop,holding,clear indoor lighting,campus in New York,white:blazer;red:scarf,blazer;scarf;white;red;executive office;laptop;holding;clear indoor lighting;campus in New York;formal,"A young woman wearing a white blazer with a red scarf, holding a laptop in a executive office located in campus in New York, clear indoor lighting, photorealistic, DSLR photography, highly detailed, fashion photography, 8k resolution",female
synth_0062,synth_0062.jpg,dress shirt;tie,white;red,formal,hotel lobby,cafe table,sitting at,clear indoor lighting,residential street in New York,white:dress shirt;red:tie,dress shirt;tie;white;red;hotel lobby;cafe table;sitting at;clear indoor lighting;residential street in New York;formal,"A fashion model wearing a white dress shirt with a red tie, sitting at a cafe table in a hotel lobby located in residential street in New York, clear indoor lighting, photorealistic, DSLR photography, highly detailed, fashion photography, 8k resolution",
synth_0063,synth_0063.jpg,dress shirt;tie,white;red,formal,executive office,office desk,standing near,clear indoor lighting,financial district in London,white:dress shirt;red:tie,dress shirt;tie;white;red;executive office;office desk;standing near;clear indoor lighting;financial district in London;formal,"A teenager wearing a white dress shirt with a red tie, standing near a office desk in a executive office located in financial district in London, clear indoor lighting, photorealistic, DSLR photography, highly detailed, fashion photography, 8k resolution",
synth_0064,synth_0064.jpg,dress shirt;tie,white;red,formal,busy airport terminal,cafe table,sitting at,clear indoor lighting,financial district in London,white:dress shirt;red:tie,dress shirt;tie;white;red;busy airport terminal;cafe table;sitting at;clear indoor lighting;financial district in London;formal,"A young woman wearing a white dress shirt with a red tie, sitting at a cafe table in a busy airport terminal located in financial district in London, clear indoor lighting, photorealistic, DSLR photography, highly detailed, fashion photography, 8k resolution",female
synth_0065,synth_0065.jpg,dress shirt;tie,white;red,formal,meeting room,boarding pass,reading,clear indoor lighting,downtown in Tokyo,white:dress shirt;red:tie,dress shirt;tie;white;red;meeting room;boarding pass;reading;clear indoor lighting;downtown in Tokyo;formal,"A middle-aged woman wearing a white dress shirt with a red tie, reading a boarding pass in a meeting room located in downtown in Tokyo, clear indoor lighting, photorealistic, DSLR photography, highly detailed, fashion photography, 8k resolution",female
